"","date","hour","duration","alarm_type","location","firefighters"
"1",2017-12-31,21,0.5,"Brand Klein","Oberwinterthur",4
"2",2017-12-31,13,1,"Hilfeleistung","Eidberg",3
"3",2017-12-30,14,0.5,"Hilfeleistung","Stadt",3
"4",2017-12-29,1,0.5,"Falschmeldung","Stadt",4
"5",2017-12-28,22,0.5,"Falschmeldung","Seen",2
"6",2017-12-28,18,0.5,"Personenbergung/Personenrettung","Wülflingen",6
"7",2017-12-28,5,0.5,"Brand Klein","Stadt",3
"8",2017-12-27,17,2,"Stützpunkt Nationalstrasse","A4",1
"9",2017-12-27,13,0.5,"Hilfeleistung","Töss",3
"10",2017-12-27,0,0.5,"Falschmeldung","Stadt",1
"11",2017-12-26,19,0.5,"Brand Klein","Stadt",1
"12",2017-12-26,10,1,"ABC-Gas","Sennhof",1
"13",2017-12-25,18,1,"ABC-Gas","Stadt",1
"14",2017-12-24,12,0.5,"Brand Fahrzeug","Veltheim",1
"15",2017-12-24,10,1,"Automatische Gefahrenmeldeanlage","Wülflingen",1
"16",2017-12-23,23,0.5,"Brand Klein","Oberwinterthur",4
"17",2017-12-23,12,3,"ABC-Gas","Veltheim",1
"18",2017-12-23,9,1,"Hilfeleistung","Seuzach",4
"19",2017-12-23,6,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"20",2017-12-22,19,0.5,"Brand Klein","Oberwinterthur",1
"21",2017-12-22,15,1,"Brand Klein","Veltheim",1
"22",2017-12-22,11,1,"ABC-Stadt","Oberseen",3
"23",2017-12-22,10,1,"Automatische Gefahrenmeldeanlage","Töss",1
"24",2017-12-22,10,1,"Brand Klein","Grüze",1
"25",2017-12-20,12,1.5,"Stützpunkt Strassenrettung","Schottikon",7
"26",2017-12-20,11,1,"Personenbergung/Personenrettung","Ohringen",4
"27",2017-12-19,6,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"28",2017-12-18,19,1,"Wasserwehr Klein","Wülflingen",8
"29",2017-12-18,9,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"30",2017-12-18,8,1.5,"Pioniereinsatz","Oberwinterthur",8
"31",2017-12-18,4,0.5,"Brand Klein","Mattenbach",4
"32",2017-12-18,0,1,"Automatische Gefahrenmeldeanlage","Seen",1
"33",2017-12-17,19,1,"Automatische Gefahrenmeldeanlage","Oberwinterthur",1
"34",2017-12-16,23,0.5,"Automatische Gefahrenmeldeanlage","Stadt",9
"35",2017-12-16,16,1,"ABC-Stützpunkt","Autobahnraststätte A1",5
"36",2017-12-16,9,4,"ABC-Stadt","Veltheim",3
"37",2017-12-15,17,1,"Lifteinsatz","Stadt",6
"38",2017-12-15,14,4,"Brand Mittel","Stadt",1
"39",2017-12-15,14,1,"Personenbergung/Personenrettung","Seen",4
"40",2017-12-15,7,1.5,"Stützpunkt Automobildrehleiter","Pfungen",4
"41",2017-12-15,0,3,"ABC-Messbus","Greifensee",4
"42",2017-12-15,0,2.5,"Elementar Wasser","Stadt",8
"43",2017-12-14,20,0.5,"Wasserwehr Klein","Stadt",3
"44",2017-12-14,20,1,"Wasserwehr Klein","Stadt",3
"45",2017-12-14,5,1,"Elementar Sturm","Wülflingen",5
"46",2017-12-13,18,0.5,"Lifteinsatz","Stadt",6
"47",2017-12-13,13,0.5,"Automatische Gefahrenmeldeanlage","Grüze",1
"48",2017-12-12,23,0.5,"Pioniereinsatz","Seen",3
"49",2017-12-12,17,6,"Stützpunkt Automobildrehleiter","Hofstetten",4
"50",2017-12-11,20,2.5,"Stützpunkt Automobildrehleiter","Oberwil",4
"51",2017-12-10,23,1,"Raucherzeugung/Dampfaustritt","Seen",9
"52",2017-12-10,19,1,"Elementar Wasser","Seen",3
"53",2017-12-10,16,1,"Wasserwehr Klein","Wülflingen",3
"54",2017-12-10,12,2.5,"Brand Fahrzeug","A1",9
"55",2017-12-10,12,0.5,"Automatische Gefahrenmeldeanlage","Töss",9
"56",2017-12-10,10,1.5,"Brand Mittel","Wülflingen",1
"57",2017-12-08,7,0.5,"Automatische Gefahrenmeldeanlage","Hegi",1
"58",2017-12-07,22,0.5,"Personenbergung/Personenrettung","Stadt",5
"59",2017-12-07,17,0.5,"Liftrettung","Stadt",6
"60",2017-12-05,23,0.5,"Brand Klein","Töss",1
"61",2017-12-05,18,1,"Lifteinsatz","Wülflingen",1
"62",2017-12-05,18,0.5,"Brand Klein","Töss",1
"63",2017-12-05,7,1,"Automatische Gefahrenmeldeanlage","Stadt",1
"64",2017-12-03,16,0.5,"Hilfeleistung","Stadt",1
"65",2017-12-03,16,0.5,"Brand Klein","Mattenbach",4
"66",2017-12-03,2,0.5,"Brand Klein","Stadt",5
"67",2017-12-03,2,0.5,"Brand Klein","Stadt",4
"68",2017-12-02,13,0.5,"Lifteinsatz","Hegi",6
"69",2017-12-02,7,2,"Wasserwehr Klein","Hegi",3
"70",2017-12-01,22,1,"Personenrettung","Mattenbach",4
"71",2017-12-01,13,1,"Automatische Gefahrenmeldeanlage","Töss",1
"72",2017-11-30,19,2,"ABC-Stadt","Oberwinterthur",3
"73",2017-11-30,16,1,"ABC-Stadt","Wülflingen",3
"74",2017-11-30,14,0.5,"Personenbergung","Wülflingen",6
"75",2017-11-29,16,1,"Automatische Gefahrenmeldeanlage","Stadt",1
"76",2017-11-29,13,1.5,"Personenbergung/Personenrettung","Seen",8
"77",2017-11-29,12,1,"ABC-Stadt","Wülflingen",3
"78",2017-11-29,4,1,"Automatische Gefahrenmeldeanlage","Veltheim",1
"79",2017-11-28,5,0.5,"Brand klein","Oberwinterthur",4
"80",2017-11-27,19,0.5,"Tiereinsatz","Seen",3
"81",2017-11-27,14,1,"Hilfeleistung","Töss",3
"82",2017-11-26,22,0.5,"Personenbergung/Personenrettung","Seen",6
"83",2017-11-25,17,2,"Personenbergung/Personenrettung","Oberwinterthur",1
"84",2017-11-25,13,0.5,"Automatische Gefahrenmeldeanlage","Oberwinterthur",9
"85",2017-11-25,12,2.5,"Wasserwehr Klein","Töss",3
"86",2017-11-25,11,0.5,"ABC-Stadt","Stadt",8
"87",2017-11-25,3,0.5,"Brand klein","Stadt",4
"88",2017-11-24,20,0.5,"Personenbergung","Seen",6
"89",2017-11-24,16,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"90",2017-11-23,20,2,"ABC-Messbus","Uster",4
"91",2017-11-23,10,0.5,"Automatische Gefahrenmeldeanlage","Stadt",9
"92",2017-11-22,20,0.5,"Technische Hilfeleistung","Rosenberg",3
"93",2017-11-22,18,1,"Brand Fahrzeug","Grüze",1
"94",2017-11-21,14,0.5,"Pioniereinsatz","Töss",3
"95",2017-11-21,10,1,"ABC-Messbus","Volketswil",4
"96",2017-11-21,9,2,"ABC-Stadt","Seen",3
"97",2017-11-21,8,1,"Hilfeleistung","Oberseen",3
"98",2017-11-20,15,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"99",2017-11-20,8,0.5,"Automatische Gefahrenmeldeanlage","Oberwinterthur",1
"100",2017-11-19,13,1,"Pioniereinsatz","Oberwinterthur",3
"101",2017-11-19,8,0.5,"Wasserwehr","Töss",8
"102",2017-11-18,21,1.5,"Brand Kamin","Töss",1
"103",2017-11-18,13,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"104",2017-11-18,13,0.5,"Falschmeldung","Mattenbach",1
"105",2017-11-18,3,0.5,"Brand Klein","Stadt",3
"106",2017-11-18,3,0.5,"Brand Klein","Stadt",1
"107",2017-11-17,9,1.5,"Tiereinsatz","Stadt",3
"108",2017-11-16,19,1,"Brand Klein","Oberwinterthur",1
"109",2017-11-16,13,0.5,"Wasserwehr klein","Oberwinterthur",3
"110",2017-11-16,7,0.5,"Automatische Gefahrenmeldeanlage","Oberwinterthur",1
"111",2017-11-15,7,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"112",2017-11-14,14,1,"Elementar Sturm","Oberwinterthur",4
"113",2017-11-14,8,0.5,"Personenbergung/Personenrettung","Seen",4
"114",2017-11-14,8,1,"ABC-Stadt","Wülflingen",3
"115",2017-11-13,13,1,"Pioniereinsatz","Seen",3
"116",2017-11-13,11,0.5,"Automatische Gefahrenmeldeanlage","Seen",1
"117",2017-11-12,15,2.5,"Elementar Sturm","Stadtgebiet",1
"118",2017-11-12,8,0.5,"Wasserwehr Klein","Oberwinterthur",3
"119",2017-11-11,20,2,"Hilfeleistung","Stadt",1
"120",2017-11-11,14,1,"Personenbergung/Personenrettung","Wülflingen",4
"121",2017-11-11,13,0.5,"Falschmeldung","Hegi",3
"122",2017-11-10,13,0.5,"Automatische Gefahrenmeldeanlage","Grüze",1
"123",2017-11-10,13,0.5,"Automatische Gefahrenmeldeanlage","Grüze",1
"124",2017-11-10,9,0.5,"Automatische Gefahrenmeldeanlage","Stadt",8
"125",2017-11-10,8,2.5,"Automatische Gefahrenmeldeanlage","Grüze",1
"126",2017-11-09,19,0.5,"ABC-Gas","Mattenbach",1
"127",2017-11-08,15,2,"Brand Mittel","Ricketwil",1
"128",2017-11-08,14,0.5,"Automatische Gefahrenmeldeanlage","Stadt",1
"129",2017-11-08,10,1.5,"Wasserwehr Klein","Oberwinterthur",3
"130",2017-11-08,10,3,"ABC-Stadt","Stadt",1
"131",2017-11-06,19,0.5,"ABC-Gas","Stadt",1
"132",2017-11-06,19,0.5,"Automatische Gefahrenmeldeanlage","Oberwinterthur",1
"133",2017-11-06,16,1,"ABC Stadt","Oberwinterthur",3
"134",2017-11-06,11,1,"Hilfeleistung","Hegi",3
"135",2017-11-06,8,1,"ABC Stadt","Wülflingen",3
"136",2017-11-05,6,0.5,"Brand Klein","Stadt",5
"137",2017-11-05,5,4,"Personenbergung nach Verkehrsunfall","Stadt",1
