"","date","temp","rain","wind","suntime","storm"
"1",2017-01-01,-2.8,0,2,4.42,4
"2",2017-01-02,-1.1,4.2,2.4,2.92,5.1
"3",2017-01-03,-2,0,1.5,0,3.6
"4",2017-01-04,-0.2,1.4,7.3,0,15.9
"5",2017-01-05,-2.4,3.8,2.7,1.58,6.3
"6",2017-01-06,-8,0,2.7,6,5.6
"7",2017-01-07,-7.5,0,2.3,1.33,5.3
"8",2017-01-08,-1.5,1.6,2.6,0.75,6.3
"9",2017-01-09,-0.7,0,1.2,0,3.3
"10",2017-01-10,-0.6,2.8,2.8,0,6.6
"11",2017-01-11,1.8,2,9.2,0.83,19
"12",2017-01-12,4.4,4.8,6.4,0,13.7
"13",2017-01-13,1.4,2,10,1.92,21.9
"14",2017-01-14,-0.2,2.4,8.1,0,17.2
"15",2017-01-15,-1.3,1.4,4.9,3.08,10.2
"16",2017-01-16,-3.3,1.8,2.4,1.58,5.4
"17",2017-01-17,-4,0.2,12.7,0.58,24.1
"18",2017-01-18,-4.1,0,13.8,0,26
"19",2017-01-19,-4.5,0,7.4,0,15.6
"20",2017-01-20,-5.6,0,4,0,8.2
"21",2017-01-21,-6,0,3.5,0,7.5
"22",2017-01-22,-6.1,0,2.6,0,6.1
"23",2017-01-23,-6.7,0,2,0,5
"24",2017-01-24,-5.4,0,4.5,0,9.4
"25",2017-01-25,-6.7,0,7.4,0,15.3
"26",2017-01-26,-5.5,0,5.4,0,11.9
"27",2017-01-27,-3.7,0,2,4.75,4.7
"28",2017-01-28,-1.8,0,1.2,6.92,2.4
"29",2017-01-29,-0.8,0,0.5,7.67,1.3
"30",2017-01-30,1.2,1,3.5,0,7.5
"31",2017-01-31,6.1,16,4.9,0,11.1
"32",2017-02-01,5.6,5.4,1.7,0.42,3.7
"33",2017-02-02,2.8,0.2,1.7,0.33,4
"34",2017-02-03,4.7,0.2,2.9,3.83,6.5
"35",2017-02-04,3.9,2.2,5.7,1.5,12.7
"36",2017-02-05,1.8,4.8,1.9,0,4.3
"37",2017-02-06,2.3,1.2,2.9,0.83,6.4
"38",2017-02-07,2.4,1,1.1,1.25,2.9
"39",2017-02-08,2.5,0.2,3.1,0,6.2
"40",2017-02-09,-0.4,0,4.7,0,9.2
"41",2017-02-10,0.5,0,2.2,1.42,5
"42",2017-02-11,0,0,2.6,1.67,6.1
"43",2017-02-12,0.9,0,6.2,3.92,13.1
"44",2017-02-13,0.7,0,7.9,0,16.4
"45",2017-02-14,0.4,0,2.5,4.08,5.6
"46",2017-02-15,1.5,0,0.9,6.75,2.2
"47",2017-02-16,4,0.2,1.3,9,3.1
"48",2017-02-17,5,5.2,4,0,8
"49",2017-02-18,3,0,2.2,2.75,5.1
"50",2017-02-19,2.4,0,2.9,5.75,6.2
"51",2017-02-20,7,1.2,5.1,3.5,10.9
"52",2017-02-21,8.6,1.6,7.2,0,15.5
"53",2017-02-22,9.4,0,7.5,2.42,16.2
"54",2017-02-23,10.7,0,9.5,7.75,20
"55",2017-02-24,5.3,0.8,7,2.25,15.8
"56",2017-02-25,2.1,0,2.2,5,5.1
"57",2017-02-26,4.6,0,2.9,6.25,6.2
"58",2017-02-27,6.6,0,3.3,8.75,7.2
"59",2017-02-28,4.5,13,6.7,1.58,15.5
"60",2017-03-01,5.1,8,12.4,1.17,25.6
"61",2017-03-02,6.7,15.2,9,5.17,19.4
"62",2017-03-03,4.6,0,1.7,6.83,4.3
"63",2017-03-04,6.2,1.8,5,6.08,11.2
"64",2017-03-05,6.6,4.4,9.5,4.75,20.7
"65",2017-03-06,4.3,10,6.3,1,13.5
"66",2017-03-07,4,1.4,7.2,1.08,15
"67",2017-03-08,4.2,2.4,5.6,3.92,11.6
"68",2017-03-09,8.7,5.4,9.4,0,19.9
"69",2017-03-10,8.3,0.2,2.4,8.58,5.6
"70",2017-03-11,5.2,0,2.2,10.33,4.7
"71",2017-03-12,5.9,0,2.4,10.17,5
"72",2017-03-13,6.3,0,1.5,9.33,3.3
"73",2017-03-14,7.7,0,1.8,10,4.2
"74",2017-03-15,8.2,0,2.6,9.17,5.9
"75",2017-03-16,8.5,0,2.1,10.08,4.7
"76",2017-03-17,11.2,0,5.3,9,11.8
"77",2017-03-18,8.4,3.4,11.1,0,23.9
"78",2017-03-19,11.5,1.2,7.8,5.75,16.7
"79",2017-03-20,10.9,0,4.6,4,10.2
"80",2017-03-21,10.4,0,5,5,10.8
"81",2017-03-22,6,1.8,3.6,0,7.8
"82",2017-03-23,10.6,2,5.5,8.42,11.3
"83",2017-03-24,8.7,0,7,1.83,14.1
"84",2017-03-25,9.4,0,9.6,5.42,19.1
"85",2017-03-26,7.5,0,1.9,5.92,4.5
"86",2017-03-27,8.4,0,1.9,10.83,4.6
"87",2017-03-28,10.9,0,2.8,10.83,6.5
"88",2017-03-29,12.6,0,2.1,10.67,4.9
"89",2017-03-30,12,0,2.8,10.83,6.2
"90",2017-03-31,12.9,0,2,9.75,4.9
"91",2017-04-01,12.3,0,4.1,4.58,9.5
"92",2017-04-02,12.5,0.6,3.9,6.5,8.6
"93",2017-04-03,12.4,3.2,3.8,7.5,8.4
"94",2017-04-04,11.2,0.4,3.1,4.83,7
"95",2017-04-05,10.3,0,2.6,6.17,6.5
"96",2017-04-06,9.2,0,4.3,6.92,9.5
"97",2017-04-07,8.9,0,1.9,11.08,4.8
"98",2017-04-08,11.3,0,2.1,11.33,4.9
"99",2017-04-09,13.8,0,2.1,11.5,5.1
"100",2017-04-10,15.8,0,5.7,10.25,12.3
"101",2017-04-11,11.5,0,3.9,6.75,8.9
"102",2017-04-12,11.7,0,3.9,11,9.4
"103",2017-04-13,13.8,0,5.8,8.92,13.1
"104",2017-04-14,10.7,0,3,3,6.9
"105",2017-04-15,10.6,0.2,4.4,1,10.1
"106",2017-04-16,7.9,9.2,3.8,0,8.8
"107",2017-04-17,7.4,3,6.2,1.67,13.3
"108",2017-04-18,3.8,1.8,4.6,5.25,10
"109",2017-04-19,1.7,9.2,3.9,3,8.6
"110",2017-04-20,2.2,0,4.4,9.5,9.5
"111",2017-04-21,5.4,0.2,2.5,12.25,6.1
"112",2017-04-22,8.7,0,4.1,9.42,9.2
"113",2017-04-23,8.7,0,3.5,9.75,8.4
"114",2017-04-24,9.9,0,2.6,12.67,6.4
"115",2017-04-25,10,26.4,3.7,0.08,8
"116",2017-04-26,2.8,28.8,2.8,0,6.1
"117",2017-04-27,3.3,12.4,2.2,0,5.6
"118",2017-04-28,2.8,14.6,3.6,1.58,7.5
"119",2017-04-29,5.9,0,3.5,12.33,7.7
"120",2017-04-30,9.1,0,3.1,12.33,6.9
"121",2017-05-01,6.6,3.8,6.1,0,13
"122",2017-05-02,9.8,0.4,4.8,7.42,9.9
"123",2017-05-03,10.8,2.4,2.9,6.25,6.5
"124",2017-05-04,10,3.4,3.1,4.08,6.7
"125",2017-05-05,12.7,0.2,4.7,11.25,10.3
"126",2017-05-06,10.3,11.6,4.1,3,9
"127",2017-05-07,10.5,6.2,7.7,0,16.6
"128",2017-05-08,9.6,17.4,6.4,0,13.3
"129",2017-05-09,8.7,0.4,3.7,4.67,8
"130",2017-05-10,10.8,0,2.5,12.83,5.7
"131",2017-05-11,15.1,0,2.3,4.25,5.7
"132",2017-05-12,15.7,0,5.7,6.67,12.8
"133",2017-05-13,16,1.8,5.5,6.17,12.4
"134",2017-05-14,15.1,1.8,4.3,7.25,9.3
"135",2017-05-15,16.1,0,3.5,10.67,8
"136",2017-05-16,16.5,0,3.6,13.25,7.8
"137",2017-05-17,18.4,0,2.2,13.25,5.2
"138",2017-05-18,19.4,0,3.1,8.17,7.1
"139",2017-05-19,11.9,3,6.3,0.25,13.3
